year,district,DBN,school_name,enrollment,avg_grade_8_english_proficiency,avg_grade_8_math_proficiency,%_ELL,%_disability,%_self_contained,economic_need_index,%_temp_housing,%_HRA_eligible,%_asian,%_black,%_hispanic,%_white,student_attendance_rate,%_chronically_absent
2015,06,06M346,Community Health Academy of the Heights,629,2.22,2.10,0.219,0.208,0.016,0.850,0.145,0.688,0.000,0.049,0.918,0.027,0.812,0.506
2015,30,30Q450,Long Island City High School,2123,2.36,2.33,0.119,0.176,0.016,0.627,0.052,0.491,0.157,0.135,0.602,0.090,0.802,0.505
2015,10,10X438,Fordham Leadership Academy for Business and Techno,438,2.11,2.03,0.167,0.288,0.116,0.855,0.174,0.699,0.018,0.276,0.678,0.027,0.834,0.505
2015,18,18K637,Academy for Conservation and the Environment,308,2.23,2.10,0.071,0.231,0.016,0.647,0.143,0.497,0.016,0.860,0.097,0.013,0.846,0.503
2015,02,02M300,"Urban Assembly School of Design and Construction,",414,2.24,2.24,0.063,0.208,0.017,0.726,0.114,0.563,0.060,0.295,0.592,0.034,0.830,0.502
2015,10,10X213,Bronx Engineering and Technology Academy,417,2.22,2.23,0.098,0.209,0.005,0.753,0.106,0.595,0.067,0.343,0.559,0.014,0.835,0.502
2015,11,11X253,Bronx High School for Writing and Communication Ar,389,2.27,2.02,0.075,0.239,0.026,0.751,0.136,0.596,0.033,0.450,0.491,0.013,0.834,0.502
2015,28,28Q157,J.H.S. 157 Stephen A. Halsey,1529,2.14,2.14,0.219,0.411,0.329,0.408,0.082,0.411,0.096,0.288,0.288,0.315,0.869,0.500
2015,03,03M402,The Urban Assembly School for Green Careers,353,2.22,2.13,0.161,0.263,0.011,0.793,0.122,0.649,0.011,0.232,0.720,0.028,0.842,0.500
2015,13,13K412,"Brooklyn Community High School of Communication, A",404,2.26,2.07,0.050,0.205,0.000,0.767,0.109,0.601,0.012,0.785,0.178,0.007,0.841,0.499
2015,32,32K549,Bushwick School for Social Justice,405,2.16,2.03,0.215,0.195,0.007,0.768,0.131,0.593,0.005,0.205,0.760,0.025,0.799,0.498
2015,19,19K583,Multicultural High School,229,1.76,1.95,0.900,0.022,0.004,0.728,0.127,0.498,0.000,0.000,0.996,0.004,0.848,0.498
2015,08,08X293,Renaissance High School for Musical Theater & Tech,444,2.28,2.09,0.036,0.241,0.005,0.730,0.077,0.597,0.032,0.279,0.610,0.072,0.831,0.496
2015,02,02M303,"Facing History School, The",406,2.17,2.09,0.195,0.251,0.002,0.811,0.131,0.665,0.017,0.273,0.675,0.022,0.830,0.492
2015,09,09X525,Bronx Leadership Academy High School,686,2.16,2.07,0.098,0.246,0.111,0.827,0.090,0.688,0.004,0.357,0.617,0.006,0.817,0.492
2015,14,14K685,El Puente Academy for Peace and Justice,245,2.23,2.10,0.155,0.245,0.000,0.780,0.069,0.612,0.000,0.118,0.853,0.012,0.852,0.492
2015,27,27Q351,Rockaway Collegiate High School,397,2.28,2.06,0.055,0.214,0.010,0.688,0.078,0.526,0.050,0.526,0.335,0.038,0.808,0.491
2015,06,06M463,High School for Media and Communications,479,2.18,2.09,0.338,0.198,0.035,0.832,0.190,0.672,0.019,0.138,0.825,0.013,0.826,0.490
2015,14,14K454,Green School: An Academy for Environmental Careers,276,2.19,2.03,0.254,0.221,0.011,0.775,0.185,0.583,0.007,0.380,0.591,0.014,0.837,0.490
2015,07,07X548,Urban Assembly School for Careers in Sports,587,2.39,2.31,0.072,0.233,0.005,0.820,0.116,0.675,0.002,0.286,0.695,0.014,0.801,0.489
2015,17,17K751,Academy for Health Careers,373,2.39,2.24,0.027,0.139,0.032,0.706,0.131,0.542,0.016,0.855,0.088,0.008,0.844,0.489
2015,08,08X559,School for Tourism and Hospitality,240,2.13,2.06,0.154,0.171,0.025,0.847,0.158,0.675,0.013,0.354,0.604,0.000,0.831,0.489
2015,10,10X433,High School for Teaching and the Professions,486,2.18,2.09,0.212,0.247,0.012,0.807,0.121,0.617,0.019,0.204,0.745,0.027,0.822,0.487
2015,14,14K071,Juan Morel Campos Secondary School,692,2.04,2.00,0.231,0.279,0.030,0.868,0.141,0.688,0.003,0.136,0.827,0.025,0.861,0.484
2015,07,07X551,The Urban Assembly Bronx Academy of Letters,591,2.15,2.02,0.136,0.250,0.111,0.882,0.075,0.711,0.009,0.304,0.669,0.015,0.828,0.484
2015,10,10X374,Knowledge and Power Preparatory Academy Internatio,487,2.31,2.23,0.150,0.224,0.035,0.766,0.113,0.571,0.025,0.322,0.614,0.021,0.851,0.484
2015,03,03M283,Manhattan Theatre Lab High School,53,2.23,2.15,0.151,0.340,0.000,0.787,0.132,0.604,0.019,0.377,0.566,0.038,0.825,0.482
2015,03,03M299,"High School for Arts, Imagination and Inquiry",447,2.25,2.12,0.128,0.226,0.040,0.754,0.141,0.586,0.004,0.385,0.588,0.009,0.830,0.482
2015,07,07X547,New Explorers High School,475,2.11,2.01,0.103,0.261,0.118,0.855,0.145,0.705,0.004,0.314,0.676,0.004,0.809,0.479
2015,19,19K683,"The School for Classics: An Academy of Thinkers, W",308,2.34,2.09,0.136,0.218,0.130,0.764,0.094,0.607,0.078,0.607,0.260,0.042,0.839,0.475
2015,02,02M393,BUSINESS OF SPORTS SCHOOL,449,2.22,2.16,0.073,0.223,0.000,0.714,0.114,0.546,0.022,0.354,0.595,0.016,0.847,0.475
2015,14,14K474,PROGRESS High School for Professional Careers,1098,2.21,2.11,0.143,0.183,0.026,0.766,0.083,0.618,0.010,0.351,0.626,0.008,0.827,0.471
2015,24,24Q485,Grover Cleveland High School,1828,2.35,2.28,0.212,0.168,0.050,0.612,0.080,0.443,0.097,0.045,0.657,0.189,0.822,0.470
2015,15,15K448,Brooklyn Secondary School for Collaborative Studie,685,2.44,2.18,0.033,0.275,0.000,0.635,0.073,0.443,0.058,0.385,0.453,0.093,0.846,0.470
2015,27,27Q480,John Adams High School,2634,2.28,2.18,0.194,0.156,0.047,0.591,0.129,0.422,0.310,0.239,0.379,0.029,0.825,0.469
2015,07,07X527,Bronx Leadership Academy II High School,495,2.13,2.12,0.139,0.267,0.034,0.831,0.109,0.689,0.022,0.323,0.634,0.008,0.854,0.463
2015,12,12X372,Urban Assembly School for Wildlife Conservation,571,2.32,2.18,0.067,0.217,0.006,0.809,0.128,0.606,0.022,0.253,0.694,0.022,0.837,0.462
2015,11,11X270,Academy for Scholarship and Entrepreneurship: A Co,371,2.18,2.03,0.054,0.240,0.032,0.661,0.084,0.499,0.032,0.636,0.305,0.011,0.849,0.461
2015,21,21K410,Abraham Lincoln High School,2341,2.41,2.30,0.134,0.154,0.065,0.658,0.064,0.504,0.151,0.398,0.237,0.201,0.828,0.461
2015,27,27Q260,Frederick Douglass Academy VI High School,409,2.22,2.04,0.086,0.213,0.042,0.705,0.086,0.570,0.015,0.597,0.379,0.007,0.825,0.460
2015,27,27Q309,Academy of Medical Technology: A College Board Sch,637,2.32,2.12,0.085,0.168,0.005,0.667,0.054,0.484,0.066,0.501,0.377,0.027,0.837,0.460
2015,10,10X440,DeWitt Clinton High School,2109,2.32,2.22,0.217,0.186,0.093,0.749,0.145,0.549,0.086,0.316,0.545,0.036,0.812,0.458
2015,25,25Q460,Flushing High School,2186,2.34,2.27,0.207,0.139,0.037,0.554,0.059,0.403,0.203,0.237,0.511,0.037,0.830,0.458
2015,11,11X508,Bronxdale High School,427,2.30,2.16,0.026,0.187,0.012,0.690,0.103,0.532,0.030,0.288,0.571,0.094,0.847,0.453
2015,08,08X269,Bronx Studio School for Writers and Artists,565,2.29,2.24,0.120,0.240,0.055,0.853,0.111,0.729,0.012,0.203,0.769,0.006,0.864,0.452
